Wall time,Step,Value
1764811526.06424,0,2.0216636657714844
1764811543.0599961,1,1.687166690826416
1764811561.0805082,2,1.5260895490646362
1764811591.4924335,3,1.4380943775177002
1764811614.5346465,4,1.3643306493759155
1764811635.7499313,5,1.319075107574463
1764811666.415199,6,1.2658947706222534
1764811685.1653695,7,1.2183223962783813
1764811705.7542148,8,1.1884243488311768
1764811736.285328,9,1.154610276222229
1764811756.5867116,10,1.1234591007232666
1764811779.91692,11,1.088180422782898
1764811801.440271,12,1.0623078346252441
1764811819.5755794,13,1.032267451286316
1764811836.1395195,14,1.0016424655914307
1764811852.6270607,15,0.974950909614563
1764811869.2910974,16,0.948867917060852
1764811886.5839057,17,0.927265465259552
1764811903.2367375,18,0.9001062512397766
1764811919.5300043,19,0.8771695494651794
1764811937.2661085,20,0.8538743257522583
1764811954.9886205,21,0.8344894647598267
1764811972.6707182,22,0.8107032179832458
1764811989.5427477,23,0.7972770929336548
1764812007.6658952,24,0.7744524478912354
1764812027.0709507,25,0.7540693283081055
1764812044.4378593,26,0.7374314069747925
1764812063.0570955,27,0.719357967376709
1764812079.5430162,28,0.7094787955284119
1764812096.0137548,29,0.6924483180046082
1764812112.141641,30,0.6740999817848206
1764812127.7158058,31,0.6578456163406372
1764812144.0514996,32,0.6336345076560974
1764812161.742092,33,0.6218438148498535
1764812179.307043,34,0.6101182699203491
1764812196.1064005,35,0.5964415073394775
1764812212.341737,36,0.5804058313369751
1764812229.3692987,37,0.5691341161727905
1764812246.5999074,38,0.5540600419044495
1764812262.1395848,39,0.537276566028595
1764812278.5905206,40,0.5334004163742065
1764812295.9125357,41,0.5195899605751038
1764812312.0450609,42,0.5089330673217773
1764812329.3167048,43,0.4902884364128113
1764812345.9643292,44,0.4789334535598755
1764812361.6432073,45,0.47370395064353943
1764812379.3704488,46,0.4628739356994629
1764812397.4254735,47,0.4478076696395874
1764812415.2239966,48,0.4361657202243805
1764812432.8116078,49,0.4398651123046875
1764812450.0369623,50,0.4234987795352936
1764812467.2542522,51,0.4115791916847229
1764812484.6370885,52,0.4039769172668457
1764812501.6677444,53,0.3917739689350128
1764812518.1600158,54,0.3865620195865631
1764812535.484526,55,0.37114056944847107
1764812552.6527524,56,0.3766826391220093
1764812570.0267417,57,0.36248719692230225
1764812587.8007987,58,0.35074374079704285
1764812604.8808322,59,0.34333881735801697
1764812621.1539302,60,0.3352442681789398
1764812638.460653,61,0.3314431607723236
1764812656.2558458,62,0.32440871000289917
1764812672.5211666,63,0.3193782567977905
1764812689.1011655,64,0.3127143681049347
1764812706.2131066,65,0.30490025877952576
1764812724.0230813,66,0.3013128936290741
1764812739.948928,67,0.3020576238632202
1764812757.0497906,68,0.2883870005607605
1764812774.7065384,69,0.28276824951171875
1764812792.3418758,70,0.2797987163066864
1764812809.6481612,71,0.2744702398777008
1764812826.558509,72,0.26257795095443726
1764812843.6584058,73,0.2661892771720886
1764812859.8145432,74,0.26037222146987915
1764812876.42397,75,0.2582182288169861
1764812894.666321,76,0.2550249695777893
1764812912.1783314,77,0.24014201760292053
1764812930.0784981,78,0.24409489333629608
1764812948.072274,79,0.2349720001220703
1764812967.926404,80,0.2301703691482544
1764812985.159078,81,0.23096857964992523
1764813001.5853872,82,0.220946803689003
1764813018.4183056,83,0.22279267013072968
1764813035.1590734,84,0.22025950253009796
1764813052.8051438,85,0.2194833755493164
1764813070.3383806,86,0.21232624351978302
1764813087.5822818,87,0.21276554465293884
1764813104.4388633,88,0.21462535858154297
1764813121.7958913,89,0.20374028384685516
1764813139.1563573,90,0.1928146779537201
1764813157.440045,91,0.18764890730381012
1764813174.9595735,92,0.1846906840801239
1764813192.8409395,93,0.18367654085159302
1764813210.038935,94,0.18570666015148163
1764813227.4367104,95,0.17932112514972687
1764813244.19317,96,0.18382199108600616
1764813260.106442,97,0.1740206778049469
1764813276.972626,98,0.1757265329360962
1764813293.6645477,99,0.18485060334205627
1764813310.8392603,100,0.18038640916347504
1764813328.791982,101,0.16554661095142365
1764813345.8334355,102,0.16737467050552368
1764813363.2205384,103,0.17147678136825562
1764813379.3221579,104,0.16399352252483368
1764813396.2337418,105,0.1594199538230896
1764813413.2679746,106,0.1534694880247116
1764813431.720206,107,0.15264244377613068
1764813449.9310942,108,0.15184853971004486
1764813466.698995,109,0.1538315862417221
1764813484.0421915,110,0.14888598024845123
1764813501.588537,111,0.15604309737682343
1764813520.1782954,112,0.15239140391349792
1764813538.1079984,113,0.1444977968931198
1764813558.0585105,114,0.15343888103961945
1764813575.6749034,115,0.14737026393413544
1764813593.5790825,116,0.14713484048843384
1764813611.5654075,117,0.14453455805778503
1764813629.6437044,118,0.14235012233257294
1764813646.740799,119,0.1333305835723877
1764813663.9445107,120,0.1391795575618744
1764813681.2976053,121,0.12875449657440186
1764813699.0057936,122,0.1362159103155136
1764813718.3326952,123,0.13319896161556244
1764813737.175475,124,0.13260482251644135
1764813755.9645138,125,0.13914968073368073
1764813773.284805,126,0.13568629324436188
1764813792.0562453,127,0.13058951497077942
1764813809.7399514,128,0.12920215725898743
1764813829.1248832,129,0.12423508614301682
1764813848.7663457,130,0.12941387295722961
1764813867.2663512,131,0.12977030873298645
1764813885.3105173,132,0.12297982722520828
1764813903.7979121,133,0.12295631319284439
1764813921.8613443,134,0.12732702493667603
1764813940.825484,135,0.12282989174127579
1764813959.2260158,136,0.1279171258211136
1764813978.0470805,137,0.12032794952392578
1764813996.118415,138,0.12133210897445679
1764814014.5653389,139,0.11139529198408127
1764814032.886426,140,0.11395265907049179
1764814049.928648,141,0.12196870893239975
1764814068.1285686,142,0.12046539038419724
1764814086.2348454,143,0.11730601638555527
1764814103.7692266,144,0.11818711459636688
1764814120.8106618,145,0.12371077388525009
1764814138.1446679,146,0.10873286426067352
1764814154.9654183,147,0.1109776422381401
1764814171.2407758,148,0.11039262264966965
1764814187.8097484,149,0.10801931470632553
1764814204.8840203,150,0.11060948669910431
1764814223.4774692,151,0.10664544254541397
1764814241.1356094,152,0.1035461351275444
1764814259.9002419,153,0.11064237356185913
1764814278.892278,154,0.10607808828353882
1764814295.9251213,155,0.10776066035032272
1764814314.0906937,156,0.1016308143734932
1764814332.1269755,157,0.10616297274827957
1764814349.0213435,158,0.10083355009555817
1764814367.60276,159,0.10024727135896683
1764814387.9371188,160,0.10609464347362518
1764814405.784589,161,0.10112585127353668
1764814423.582467,162,0.09914674609899521
1764814441.7566564,163,0.10728586465120316
1764814458.7398589,164,0.10233572125434875
