Wall time,Step,Value
1764815146.8829596,0,0.9804560542106628
1764815161.5510263,1,0.29716774821281433
1764815176.0808487,2,0.1988898068666458
1764815190.8212628,3,0.1529347151517868
1764815206.3890126,4,0.12565423548221588
1764815222.2638664,5,0.10846620798110962
1764815237.2912054,6,0.09724607318639755
1764815251.5896587,7,0.08686181157827377
1764815266.561364,8,0.07866411656141281
1764815280.5542245,9,0.07277371734380722
1764815294.4682896,10,0.0708618313074112
1764815309.613472,11,0.06519556045532227
1764815323.728829,12,0.06261177361011505
1764815337.833963,13,0.058526746928691864
1764815352.0048661,14,0.0548107884824276
1764815366.4752655,15,0.052436068654060364
1764815381.2480333,16,0.05157243460416794
1764815395.8523734,17,0.04813903942704201
1764815410.5709805,18,0.044225919991731644
1764815424.890185,19,0.04297812655568123
1764815438.4954658,20,0.043148476630449295
1764815452.7816908,21,0.04215303435921669
1764815467.3610444,22,0.03816479444503784
1764815481.554202,23,0.03664505481719971
1764815496.76202,24,0.03692832216620445
1764815510.9594254,25,0.03674372285604477
1764815524.5759225,26,0.035870261490345
1764815538.3626623,27,0.03436015546321869
1764815552.7101626,28,0.03281143307685852
1764815567.267357,29,0.031328920274972916
1764815581.611883,30,0.029384715482592583
1764815596.2725992,31,0.028672227635979652
1764815611.66277,32,0.02968035638332367
1764815625.610401,33,0.028546692803502083
1764815639.8854551,34,0.0269694272428751
1764815652.9234767,35,0.0262231957167387
1764815666.0719483,36,0.026220399886369705
1764815679.9219232,37,0.02549622394144535
1764815694.066798,38,0.02457374334335327
1764815708.256889,39,0.023981492966413498
1764815723.5457888,40,0.022937703877687454
1764815737.8031454,41,0.023056665435433388
1764815752.6642015,42,0.022898156195878983
1764815766.8466804,43,0.022353893145918846
1764815780.7287033,44,0.021811695769429207
1764815794.298956,45,0.020477943122386932
1764815807.8023202,46,0.021438831463456154
1764815821.0837462,47,0.0183995570987463
1764815834.1978407,48,0.01934359408915043
1764815847.5005722,49,0.02021883986890316
