Wall time,Step,Value
1764817811.6054873,0,0.9877761006355286
1764817824.480036,1,0.2872704863548279
1764817837.0768619,2,0.186164990067482
1764817849.043987,3,0.13920371234416962
1764817861.4946167,4,0.11671291291713715
1764817873.6496956,5,0.10287139564752579
1764817885.82751,6,0.09047618508338928
1764817898.585526,7,0.08314668387174606
1764817911.9653819,8,0.07713834196329117
1764817924.5069647,9,0.07336131483316422
1764817937.24926,10,0.06744598597288132
1764817951.3701818,11,0.06476520001888275
1764817966.3246598,12,0.06115882471203804
1764817980.1428266,13,0.05787647143006325
1764817992.7672462,14,0.055193331092596054
1764818004.2269082,15,0.053849004209041595
1764818015.9991426,16,0.05155433341860771
1764818029.5138135,17,0.04912934824824333
1764818043.6060748,18,0.04673389345407486
1764818057.0464206,19,0.046104878187179565
1764818069.167719,20,0.04375821724534035
1764818080.7796426,21,0.04298630356788635
1764818094.0014644,22,0.04026731848716736
1764818108.196788,23,0.03856338560581207
1764818122.6612613,24,0.040809016674757004
1764818135.9010737,25,0.03767361864447594
1764818148.7506902,26,0.03644309565424919
1764818163.0177703,27,0.03528410568833351
1764818177.5466614,28,0.03431456536054611
1764818192.088597,29,0.03271326422691345
1764818205.0551052,30,0.030913081020116806
1764818217.4349327,31,0.03081516921520233
1764818231.0952516,32,0.03162700682878494
1764818244.8541412,33,0.02930712327361107
1764818258.4379275,34,0.028012339025735855
1764818272.25287,35,0.028194082900881767
1764818286.1438456,36,0.027342842891812325
1764818300.552557,37,0.026806766167283058
1764818314.9457066,38,0.024638479575514793
1764818326.0260775,39,0.025530030950903893
1764818342.165441,40,0.024718275293707848
1764818356.446358,41,0.02448699064552784
1764818370.1632495,42,0.022355079650878906
1764818383.0677128,43,0.021772880107164383
1764818396.5819542,44,0.02421988919377327
1764818410.9316015,45,0.02268357202410698
1764818423.8778214,46,0.021194692701101303
1764818436.4022357,47,0.020798439159989357
1764818448.989835,48,0.021040869876742363
1764818461.3599582,49,0.019580990076065063
