Wall time,Step,Value
1764815028.357475,0,2.0398242473602295
1764815048.4056852,1,1.700068712234497
1764815067.1688387,2,1.5371912717819214
1764815085.837785,3,1.4391032457351685
1764815105.483091,4,1.375827431678772
1764815125.6327307,5,1.3331390619277954
1764815145.42559,6,1.2844417095184326
1764815165.1713686,7,1.2530322074890137
1764815185.4270291,8,1.2165225744247437
1764815205.9508045,9,1.1757397651672363
1764815226.5765736,10,1.1427819728851318
1764815246.2943006,11,1.1171208620071411
1764815266.550544,12,1.0862549543380737
1764815286.217176,13,1.0591354370117188
1764815305.9808607,14,1.0364854335784912
1764815325.7363799,15,1.0067964792251587
1764815345.94567,16,0.9790310859680176
1764815365.850799,17,0.9598877429962158
1764815385.7949579,18,0.936048150062561
1764815406.1452577,19,0.9130074381828308
1764815426.2290974,20,0.8870208859443665
1764815445.2993734,21,0.8641782999038696
1764815464.6305447,22,0.8468625545501709
1764815485.157756,23,0.8265407681465149
1764815505.2886045,24,0.8084301352500916
1764815524.656316,25,0.791293740272522
1764815543.8695269,26,0.7708553075790405
1764815563.7176442,27,0.7481100559234619
1764815583.7825584,28,0.7425245642662048
1764815604.4240017,29,0.7180612683296204
1764815625.0537353,30,0.6969308853149414
1764815644.410261,31,0.6875922083854675
1764815662.8909078,32,0.6712506413459778
1764815682.58592,33,0.6532913446426392
1764815702.2334652,34,0.6344255208969116
1764815722.2552652,35,0.6186925172805786
1764815742.1077058,36,0.6093822121620178
1764815762.447452,37,0.5946516990661621
1764815781.3255892,38,0.5778926610946655
1764815800.1880434,39,0.559265673160553
1764815818.8113854,40,0.5540068745613098
1764815837.1484058,41,0.539588212966919
1764815853.892258,42,0.5221444964408875
1764815867.0731149,43,0.5184552669525146
1764815880.3683825,44,0.5041691064834595
1764815893.5000842,45,0.48440125584602356
1764815906.7457826,46,0.4790325164794922
1764815920.0400844,47,0.4682898223400116
1764815933.1347651,48,0.4596428871154785
1764815946.6314673,49,0.45007646083831787
1764815959.9787273,50,0.4402637481689453
1764815973.0454435,51,0.43093687295913696
1764815986.973358,52,0.42200967669487
1764816001.1865118,53,0.416547566652298
1764816014.7393277,54,0.4083090126514435
1764816028.303782,55,0.39594557881355286
1764816042.249013,56,0.40017303824424744
1764816056.490734,57,0.3771701157093048
1764816070.0558963,58,0.37937918305397034
1764816083.9483213,59,0.36814746260643005
1764816098.2015254,60,0.3523982763290405
1764816112.39144,61,0.3506859838962555
1764816126.2437057,62,0.34462839365005493
1764816140.2061546,63,0.3510354459285736
1764816154.3744922,64,0.33583396673202515
1764816168.4115376,65,0.3249087333679199
1764816182.1812012,66,0.318943589925766
1764816196.288436,67,0.30486786365509033
1764816210.0240636,68,0.3069242835044861
1764816223.990938,69,0.30007481575012207
1764816237.8748798,70,0.29345881938934326
1764816251.7251072,71,0.28969600796699524
1764816265.5538259,72,0.2836788296699524
1764816279.0721104,73,0.2757972180843353
1764816292.1244287,74,0.2781074345111847
1764816305.1474905,75,0.2757430672645569
1764816318.5508108,76,0.2703556716442108
1764816331.863664,77,0.2597578763961792
1764816345.9730337,78,0.2631559669971466
1764816359.5351987,79,0.25499317049980164
1764816372.0486238,80,0.24656449258327484
1764816382.4351323,81,0.2486768364906311
1764816392.8391159,82,0.24310490489006042
1764816403.8253677,83,0.2438787817955017
1764816414.4483533,84,0.23016388714313507
1764816425.1154945,85,0.22886884212493896
1764816435.4380565,86,0.23383910953998566
1764816445.9099967,87,0.2275131642818451
1764816456.1893852,88,0.2194308489561081
1764816466.548825,89,0.21660849452018738
1764816477.2455902,90,0.2151777297258377
1764816488.9063199,91,0.2162405252456665
1764816499.5511038,92,0.2112688571214676
1764816509.5461333,93,0.21095283329486847
1764816519.5532246,94,0.20312665402889252
1764816530.1609566,95,0.20141160488128662
1764816540.7999308,96,0.197007417678833
1764816551.3013887,97,0.202712282538414
1764816561.8514261,98,0.19303354620933533
1764816572.2289696,99,0.1909562647342682
1764816582.9850523,100,0.19796854257583618
1764816593.851937,101,0.19041194021701813
1764816604.89535,102,0.18152083456516266
1764816615.6284733,103,0.18287493288516998
1764816626.2951033,104,0.18061554431915283
1764816636.8876529,105,0.17139320075511932
1764816647.5897365,106,0.17478279769420624
1764816659.0668805,107,0.1811726838350296
1764816670.5602877,108,0.17406533658504486
1764816682.0293896,109,0.16696186363697052
1764816693.6387942,110,0.17356464266777039
1764816710.8336635,111,0.17295865714550018
1764816727.0051355,112,0.1584833711385727
1764816743.9943728,113,0.1627873033285141
1764816760.2038996,114,0.16709847748279572
1764816777.0677829,115,0.1654130220413208
1764816793.588389,116,0.16024665534496307
1764816807.8499355,117,0.15402647852897644
1764816819.3319314,118,0.14799664914608002
1764816830.7186987,119,0.15162873268127441
1764816844.979269,120,0.1513506919145584
1764816861.4206176,121,0.15424245595932007
1764816878.786665,122,0.14481528103351593
1764816894.2894702,123,0.1514340341091156
1764816904.899574,124,0.15648044645786285
1764816917.435029,125,0.14965949952602386
1764816937.0767066,126,0.14979985356330872
1764816959.2582815,127,0.14183297753334045
1764816981.9713004,128,0.15067103505134583
1764816997.795578,129,0.1467299908399582
1764817012.134048,130,0.13982351124286652
1764817033.4269197,131,0.13551324605941772
1764817054.4755385,132,0.13697655498981476
1764817070.8086343,133,0.13843365013599396
1764817085.6003778,134,0.13527707755565643
1764817106.7356274,135,0.13612616062164307
1764817127.084282,136,0.13206802308559418
1764817143.326091,137,0.13905781507492065
1764817161.2048237,138,0.12875455617904663
1764817184.1061351,139,0.12865830957889557
1764817204.2787154,140,0.12853477895259857
1764817218.8741152,141,0.13248039782047272
1764817237.482729,142,0.13009777665138245
1764817260.7080646,143,0.12675634026527405
1764817279.578756,144,0.12621711194515228
1764817294.6511064,145,0.1318647861480713
